cat/real,regression bin width,MAE
1,0.1,1.350152218
0.5,1,1.473612166
0.25,8,1.474801311
1,0.25,1.454961029
1,2,1.474518659
1,1,1.473612166
1,4,1.474744805
1,0.5,1.469956909
2,0.1,1.350152218
1,8,1.474801311
2,0.25,1.454961029
2,0.5,1.469956909
2,1,1.473612166
2,2,1.474518659
2,4,1.474744805
4,0.1,1.350152218
4,0.25,1.454961029
4,0.5,1.469956909
4,1,1.473612166
4,4,1.474744805
2,8,1.474801311
4,2,1.474518659
4,8,1.474801311
10,4,1.474744805
10,1,1.473612166
10,2,1.474518659
10,0.1,1.350152218
10,8,1.474801311
10,0.25,1.454961029
0.1,0.1,1.384345121
0.1,0.25,1.48423075
10,0.5,1.469956909
0.1,0.5,1.500183922
0.1,1,1.50418526
0.1,2,1.505183229
0.1,8,1.50549482
0.25,0.5,1.495653015
0.1,4,1.505432513
0.25,0.1,1.384439521
0.25,0.25,1.480473745
0.25,1,1.499455733
0.25,2,1.500403745
0.25,4,1.500640521
0.25,8,1.5006997
0.5,0.1,1.384439521
0.5,0.25,1.480473745
0.5,0.5,1.495653015
0.5,1,1.499455733
0.5,2,1.500403745
0.5,4,1.500640521
0.5,8,1.5006997
1,0.5,1.495653015
1,0.1,1.384439521
1,0.25,1.480473745
1,2,1.500403745
1,1,1.499455733
2,4,1.500640521
2,2,1.500403745
2,0.1,1.384439521
2,0.25,1.480473745
4,0.1,1.384439521
2,8,1.5006997
1,4,1.500640521
4,1,1.499455733
4,0.5,1.495653015
10,0.1,1.384439521
2,1,1.499455733
1,8,1.5006997
4,4,1.500640521
4,2,1.500403745
10,0.25,1.480473745
4,0.25,1.480473745
2,0.5,1.495653015
4,8,1.5006997
10,0.5,1.495653015
10,1,1.499455733
10,2,1.500403745
10,4,1.500640521
10,8,1.5006997
0.1,0.1,1.399328921
0.1,0.25,1.486534797
0.1,0.5,1.499536002
0.1,2,1.503349002
0.1,1,1.502599908
0.1,8,1.503581638
0.1,4,1.503535167
0.25,0.25,1.491020334
0.25,1,1.508492469
0.25,0.1,1.401839543
0.25,0.5,1.50512702
0.25,2,1.509318446
0.5,0.1,1.401839543
0.25,4,1.509523925
0.5,4,1.509523925
0.5,1,1.508492469
0.25,8,1.50957523
0.5,0.25,1.491020334
0.5,8,1.50957523
0.5,0.5,1.50512702
1,0.1,1.401839543
0.5,2,1.509318446
1,0.25,1.491020334
1,0.5,1.50512702
1,2,1.509318446
1,1,1.508492469
1,4,1.509523925
1,8,1.50957523
2,0.1,1.401839543
2,0.25,1.491020334
2,1,1.508492469
2,0.5,1.50512702
2,2,1.509318446
2,4,1.509523925
2,8,1.50957523
4,0.1,1.401839543
4,0.25,1.491020334
4,0.5,1.50512702
4,2,1.509318446
10,0.5,1.50512702
4,1,1.508492469
4,4,1.509523925
4,8,1.50957523
10,0.1,1.401839543
10,2,1.509318446
10,0.25,1.491020334
10,4,1.509523925
10,1,1.508492469
0.1,1,1.508696892
0.1,0.25,1.491567395
0.1,2,1.509498196
0.1,0.1,1.405185393
0.1,4,1.509697342
0.1,8,1.509747054
10,8,1.50957523
0.25,0.25,1.497924713
0.1,0.5,1.505420254
0.25,0.1,1.407540974
0.25,0.5,1.51216841
0.25,1,1.51552243
0.25,2,1.516343297
0.25,4,1.516547361
0.25,8,1.516598305
0.5,0.1,1.407540974
0.5,0.25,1.497924713
0.5,0.5,1.51216841
0.5,1,1.51552243
0.5,2,1.516343297
0.5,4,1.516547361
0.5,8,1.516598305
1,0.1,1.407540974
1,1,1.51552243
1,0.25,1.497924713
2,1,1.51552243
1,2,1.516343297
1,0.5,1.51216841
1,8,1.516598305
1,4,1.516547361
2,2,1.516343297
2,0.1,1.407540974
2,0.5,1.51216841
2,0.25,1.497924713
2,8,1.516598305
4,0.5,1.51216841
4,0.25,1.497924713
4,0.1,1.407540974
4,4,1.516547361
4,2,1.516343297
4,1,1.51552243
2,4,1.516547361
10,0.1,1.407540974
4,8,1.516598305
10,0.25,1.497924713
10,0.5,1.51216841
10,2,1.516343297
10,1,1.51552243
10,4,1.516547361
0.1,0.1,1.44152469
10,8,1.516598305
0.1,0.25,1.525020598
0.1,0.5,1.536466698
0.1,1,1.539040193
0.1,2,1.539662544
0.1,8,1.539855286
